hidden_size,num_hidden_layers,num_epochs,Metric value
127.0,5.0,900.0,0.0001089055726859
117.0,4.0,934.0,0.000440929299213
82.0,3.0,153.0,0.00010853679361
29.0,3.0,410.0,0.0004629079010219
62.0,3.0,935.0,1.180472183568575e-05
12.0,4.0,721.0,8.502310259084548e-05
24.0,4.0,609.0,0.0001328326216407
26.0,4.0,984.0,0.0003306791842642
127.0,5.0,566.0,6.998983896702411e-06
106.0,3.0,732.0,7.947832766815224e-05
71.0,3.0,935.0,0.0006151773423576
37.0,5.0,541.0,3.081271179103576e-05
45.0,5.0,159.0,6.643616856128145e-05
25.0,3.0,233.0,0.0005937583669267
98.0,4.0,810.0,0.0002611593722965
36.0,4.0,609.0,8.826574453525938e-05
121.0,4.0,934.0,0.0001670367987573
49.0,3.0,410.0,6.498184240604155e-05
50.0,3.0,410.0,0.0003891749334251
34.0,3.0,336.0,0.000117012451196
27.0,4.0,721.0,0.0008677513070475
84.0,3.0,810.0,5.809036692692376e-05
122.0,4.0,934.0,0.0002072846484204
83.0,4.0,661.0,0.0004546917226956
48.0,3.0,997.0,0.0002200342805264
85.0,3.0,935.0,0.0001095532211803
54.0,5.0,541.0,0.0001675577550262
123.0,4.0,934.0,0.0005402429651535
88.0,3.0,935.0,0.0001213378511309
128.0,4.0,742.0,0.0001746260325186
84.0,5.0,550.0,0.0002418312119106
66.0,5.0,878.0,0.0002532662157534
105.0,3.0,153.0,0.0002116476409907
68.0,5.0,159.0,7.975212982251947e-05
50.0,3.0,336.0,0.0005279182308357
92.0,3.0,935.0,4.4788392980854433e-05
50.0,3.0,233.0,0.000182668836885
92.0,4.0,887.0,0.0001847575417676
77.0,4.0,112.0,0.0002964902772099
124.0,4.0,934.0,0.0003891727145235
54.0,3.0,233.0,0.0003081610556011
96.0,3.0,935.0,2.4621752691401e-05
66.0,4.0,724.0,7.898067267018593e-05
110.0,3.0,153.0,2.326165823974288e-05
89.0,5.0,222.0,0.0001116364271856
71.0,4.0,522.0,6.950080342828505e-06
79.0,5.0,159.0,0.0007966648587904
63.0,4.0,622.0,0.0005420009236047
79.0,3.0,410.0,0.000177940853005
61.0,4.0,910.0,0.0004339901069926
57.0,5.0,609.0,0.0002905671590911
112.0,3.0,153.0,0.0006816849530145
65.0,3.0,233.0,0.0004078233451471
76.0,5.0,980.0,0.0002297056161099
